Cadena	Token	Posición	Línea
<	-62	-1	64
<	-62	-1	64
endl	-21	-2	64
cout	-21	-2	65
<	-62	-1	65
<	-62	-1	65
2	-41	-1	65
)	-72	-1	65
Salir	-21	-2	65
<	-62	-1	65
<	-62	-1	65
endl	-21	-2	65
cout	-21	-2	66
<	-62	-1	66
<	-62	-1	66
Elige	-21	-2	66
una	-21	-2	66
opcion	-21	-2	66
cin	-21	-2	67
>	-61	-1	67
>	-61	-1	67
opcion	-21	-2	67
cin	-21	-2	68
ignore	-21	-2	68
(	-71	-1	68
)	-72	-1	68
switch	-21	-2	70
(	-71	-1	70
opcion	-21	-2	70
)	-72	-1	70
{	-75	-1	70
case	-21	-2	71
1	-41	-1	71
contarLineas	-21	-2	72
(	-71	-1	72
)	-72	-1	72
system	-21	-2	73
(	-71	-1	73
pause	-21	-2	73
)	-72	-1	73
break	-21	-2	74
case	-21	-2	75
2	-41	-1	75
cout	-21	-2	76
<	-62	-1	76
<	-62	-1	76
Saliendo	-21	-2	76
del	-21	-2	76
programa	-21	-2	76
<	-62	-1	76
<	-62	-1	76
endl	-21	-2	76
break	-21	-2	77
default	-21	-2	78
cout	-21	-2	79
<	-62	-1	79
<	-62	-1	79
Opcion	-21	-2	79
no	-21	-2	79
valida	-21	-2	79
n	-21	-2	79
<	-62	-1	79
<	-62	-1	79
endl	-21	-2	79
}	-76	-1	80
system	-21	-2	82
(	-71	-1	82
cls	-21	-2	82
)	-72	-1	82
}	-76	-1	83
while	-5	-1	83
(	-71	-1	83
opcion	-21	-2	83
=	-65	-1	83
2	-41	-1	83
)	-72	-1	83
return	-21	-2	85
0	-41	-1	85
}	-76	-1	86
